Warung,Nama Makanan,Kalori (kkal),Gula (g),Karbohidrat (g),Protein (g),Lemak (g)
Burjo,Magelangan,250,1.13,40,10,10
Burjo,Mie Goreng,350,6.0,50,12,15
Burjo,Nasi Telur Orak Arik,98,1.17,15,6,3
Soto,Soto Ayam,312,0.98,45,15,8
Preksu/Omega,Ayam Geprek,321,0.78,35,25,12
Preksu/Omega,Ayam Goreng,420,0.7,30,30,20
Warung SS,Nasi Lele,292,9.67,45,20,18
Warung SS,Nasi Kulit,454,0.9,50,18,22
Warung SS,Sayur Sop,72,3.83,12,4,3
Warung SS,Cah Kangkung,98,0.51,10,3,2
Warung SS,Nasi Ayam Bakar,550,5.0,55,28,25
Warteg Bahari,Telur Balado,71,0.77,5,6,4
Warteg Bahari,Sayur Tahu Tauge,86,2.79,10,5,3
Warteg Bahari,Ikan Balado,163,0.46,15,20,10
Warteg Bahari,Tempe Orek,175,5.13,20,10,6
Padang,Rendang,195,1.31,10,12,15
Padang,Sayur Nangka,66,1.9,8,5,3
Nasi Goreng,Nasi Goreng Ayam,329,1.39,50,15,18
Nasi Goreng,Nasi Goreng Telur,168,8.0,45,12,10
Angkringan,Nasi Oseng Mercon,210,12.0,40,20,15
Angkringan,Tempe Goreng,34,0.03,5,3,2
Angkringan,Bakwan,137,1.05,20,4,5
Angkringan,Nasi Uduk,260,1.83,35,10,8
Warung Sate,Sate Ayam,101,0.89,10,12,6
Warung Sate,Sate Kambing,97,0.89,10,15,10
Warung Sate,Sate Taichan,72,1.06,10,8,4
Sushi,Sushi,37,1.63,7,3,2
Sushi,Beef Curry,354,3.26,40,18,20
Sushi,Udon,131,0.04,30,5,6
Salad,Salad Sayur,60,3.16,10,2,1
Salad,Salad Buah,54,10.23,15,1,2
Mie Ayam Bakso,Mie Ayam,421,1.32,55,20,10
Mie Ayam Bakso,Bakso Campur,444,0.47,50,30,25
Kebab,Kebab Daging,620,6.91,60,25,30
Warung Seblak,Seblak,262,5.49,45,10,15
